current_course,ccm_influence[ccm_website],ccm_influence[ccm_socials],ccm_influence[ccm_event],ccm_influence[family_friends],ccm_influence[ccm_student],ccm_influence[ccm_alumni],ccm_influence[high_school_teacher],ccm_influence[high_school_counselor],ccm_influence[in_app_ads],ccm_influence[employer],ccm_influence[billboard],ccm_influence[tv],ccm_influence[radio],ccm_influence[home_mail],ccm_influence[other],effect_attendance[affordable],effect_attendance[location],effect_attendance[programs],effect_attendance[online_offers],effect_attendance[family_friends],effect_attendance[faculty_staff],effect_attendance[college_rep],effect_attendance[financial_aid],effect_attendance[scholarships],effect_attendance[small_classes],effect_attendance[extra_curricular],effect_attendance[took_transfer_credits],effect_attendance[bad_prev_college_exp],effect_attendance[nj_stars],effect_attendance[future_transfer],effect_attendance[prev_college_credits],ccm_event[open_house],ccm_event[instant_decision_day],ccm_event[on_campus_info_session],ccm_event[titans_tuesday_virtual],ccm_event[women_who_dare],ccm_event[regional_college_fair],ccm_event[hs_sharetime_info],ccm_event[challenger_program],ccm_event[cybersecurity_info_program],ccm_event[hs_info_session],ccm_event[hs_campus_visit],ccm_event[alone_campus_visit],ccm_event[workforce_dev_class],ccm_event[corp_training],ccm_event[teen_arts_fest],ccm_event[ccm_summer_camp],ccm_event[hour_of_code],effect_computing_decision[middle_high_school_computing_class],effect_computing_decision[middle_high_school_computing_club],effect_computing_decision[computing_related_competitions],effect_computing_decision[after_school_computing_camp_programs],effect_computing_decision[summer_computing_camp],effect_computing_decision[ap_computing_class],effect_computing_decision[dual_enrollment_computing_class],effect_computing_decision[family_friend_influence],effect_computing_decision[family_friend_in_field],effect_computing_decision[hs_teacher_counselor],effect_computing_decision[employer_influence],effect_computing_decision[ccm_student],effect_computing_decision[exp_at_work],effect_computing_decision[other],current_program,motivation[computing_job],motivation[transfer_to_bach_program],motivation[get_hs_degree],motivation[career_advancement],motivation[career_change],motivation[professional_development],motivation[job_displacement],motivation[relocation],motivation[keep_current_in_tech],motivation[it_industry_certs],motivation[financial],motivation[personal_enrichment],computing_program_discovery[hs_counselor],computing_program_discovery[hs_teacher],computing_program_discovery[ccm_it_website],computing_program_discovery[ccm_admissions],computing_program_discovery[ccm_advisor],computing_program_discovery[employer],computing_program_discovery[ccm_workforce_development],computing_program_discovery[nj_workforce_development],computing_program_discovery[other],computing_first_choice,interest_level,explanation,Gender,Race/ethnicity,Age
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Challenger Program,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,First Choice,,,Woman,White/Caucasian,18 and younger
CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,First Choice,,,Man,Asian,18 and younger
CMP 128 Computer Science I,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,First Choice,,,Man,White/Caucasian,18 and younger
CMP 128 Computer Science I,Yes,Don't recall,No,Don't recall,Yes,No,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,business,,,,,,,,,,,,,,,,,,,,,,,5.0,"It's a career that I study when I just graduated from high school, but I didn't like it and I transfer to another career. But I have always been interested in software programming. ",Man,Hispanic_or_Latino,35-64
CMP 128 Computer Science I,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,Some Impact,High Impact,,,,,High Impact,,,,,,,,High Impact,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,Man,White/Caucasian,18 and younger
CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,White/Caucasian,19-20
CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,education,,,,,,,,,,,,,,,,,,,,,,,1.0,I am taking this class as a requirement for my major. I am unsure as to why this is a requirement for my Early Childhood Education associates degree but it was.,Woman,White/Caucasian,19-20
CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,computer science,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Business,,,Man,White/Caucasian,21-24
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,computer science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Criminal Justice,,,Woman,mixed,19-20
CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,computer science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Multi-Racial,18 and younger
CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,,,,,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,,,,,,,,computer science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Prefer not to say,Choose_not_to_reply,18 and younger
CMP 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,,5.0,Professor is very good.  ,Man,Choose_not_to_reply,35-64
CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,,,,,,Some Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,,computer science,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,First Choice,,,Man,White/Caucasian,19-20
CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No,Yes,Yes,No,No,Not Sure,No,No,No,Yes,No,Yes,Not Sure,No,No,No,Not Sure,Some Impact,No Impact,Some Impact,,,,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,First Choice,,,Woman,Asian,21-24
CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,Yes,Yes,Don't recall,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Architecture Program,,,Man,White/Caucasian,21-24
CMP 128 Computer Science I,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,High Impact,,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,No Impact,High Impact,Some Impact,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,Some Impact,Some Impact,,,,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Undecided,,,,,,,,,,,,,,,,,,,,,,,4.0,"I am a electrical engineering major so I know that I will need to take another computing class in the future but I'm not the best at coding. I want to get better at it, and would like to be able to code for jobs possibly in the future.",Man,White/Caucasian,18 and younger
CMP 128 Computer Science I,Yes,Don't recall,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,,High Impact,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,,,Some Impact,High Impact,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,No Impact,,,,Some Impact,,High Impact,Some Impact,Some Impact,,,,,computer science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,First Choice,,,Non-binary,White/Caucasian,18 and younger
CMP 239 Internet & Web Page Design,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,,,,computer science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Engineering,,,Woman,Asian,21-24
CMP 239 Internet & Web Page Design,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,computer science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,Asian,25-34
CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,computer science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Criminal Justice,,,Man,White/Caucasian,19-20
CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,21-24
CMP 239 Internet & Web Page Design,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Digital Media Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,mixed,21-24
CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,,,,,,,High Impact,High Impact,Some Impact,,,,,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,21-24
CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,,Some Impact,Some Impact,,High Impact,Some Impact,High Impact,,,High Impact,High Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,computer science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,mixed,21-24
CMP 239 Internet & Web Page Design,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,,,Some Impact,,High Impact,High Impact,High Impact,,Some Impact,No Impact,,Digital Media Technology,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Computer Science,,,Man,Hispanic_or_Latino,21-24
CMP 128 Computer Science I,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,Some Impact,,,,High Impact,,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,computer science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Engineering,,,Man,mixed,21-24
CMP 128 Computer Science I,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,,,,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,computer science,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,Asian,19-20
CMP 239 Internet & Web Page Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,Yes,Yes,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,High Impact,High Impact,,,High Impact,High Impact,,,,High Impact,High Impact,High Impact,computer science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Yes,First Choice,,,Man,Hispanic_or_Latino,35-64
CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,,,,,,,,,,,,Mechanical engineer of technology,,,,,,,,,,,,,,,,,,,,,,,3.0,i like to work in the computer but i like to work moving around. i do not really like to be sitting down all day in front a computer,Man,Hispanic_or_Latino,21-24
CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,21-24
CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,mixed,19-20
CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,,Some Impact,,Some Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Some Impact,Some Impact,,Some Impact,,,Some Impact,Some Impact,,,,,,CIS Game Development Option,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,,,Woman,White/Caucasian,19-20
CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,High Impact,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,Some Impact,computer science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Don't recall,No,No,No,No,Business,,,Man,Hispanic_or_Latino,25-34
CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,,5.0,I would be interesting to start another class since it would allow me to learn more specific skills in the field.,Man,White/Caucasian,19-20
CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,,3.0,I'm moderately interested but do not need anymore credits,Man,White/Caucasian,21-24
CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,computer science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Business,,,Man,Black/African_American,19-20
CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,computer science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,First Choice,,,Man,White/Caucasian,19-20
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,Some Impact,,certificate program,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Asian,25-34
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Don't recall,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,computer science,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Engineering,,,Man,Asian,19-20
