current_course,ccm_influence[ccm_website],ccm_influence[ccm_socials],ccm_influence[ccm_event],ccm_influence[family_friends],ccm_influence[ccm_student],ccm_influence[alumni],ccm_influence[high_school_teacher],ccm_influence[high_school_counselor],ccm_influence[in_app_ads],ccm_influence[employer],ccm_influence[billboard],ccm_influence[tv],ccm_influence[radio],ccm_influence[home_mail],ccm_influence[other],effect_attendance[affordable],effect_attendance[location],effect_attendance[programs],effect_attendance[online_offers],effect_attendance[family_friends],effect_attendance[faculty_staff],effect_attendance[college_rep],effect_attendance[financial_aid],effect_attendance[scholarships],effect_attendance[small_classes],effect_attendance[extra_curricular],effect_attendance[took_transfer_credits],effect_attendance[bad_prev_college_exp],effect_attendance[nj_stars],effect_attendance[future_transfer],effect_attendance[prev_college_credits],ccm_event[open_house],ccm_event[instant_decision_day],ccm_event[on_campus_info_session],ccm_event[titans_tuesday_virtual],ccm_event[women_who_dare],ccm_event[regional_college_fair],ccm_event[hs_sharetime_info],ccm_event[challenger_program],ccm_event[cybersecurity_info_program],ccm_event[hs_info_session],ccm_event[hs_campus_visit],ccm_event[alone_campus_visit],ccm_event[workforce_dev_class],ccm_event[corp_training],ccm_event[teen_arts_fest],ccm_event[ccm_summer_camp],ccm_event[hour_of_code],motivation[keep_current_in_tech],motivation[curiosity],motivation[personal_enrichment],motivation[career_advancement],motivation[career_change],motivation[professional_development],motivation[job_displacement],motivation[financial],motivation[relocation],motivation[it_industry_certs],motivation[required_class],effect_computing_decision[middle_high_school_computing_class],effect_computing_decision[middle_high_school_computing_club],effect_computing_decision[computing_related_competitions],effect_computing_decision[after_school_computing_camp_programs],effect_computing_decision[summer_computing_camp],effect_computing_decision[ap_computing_class],effect_computing_decision[dual_enrollment_computing_class],effect_computing_decision[family_friend_influence],effect_computing_decision[family_friend_in_field],effect_computing_decision[hs_teacher_counselor],effect_computing_decision[employer_influence],effect_computing_decision[ccm_faculty],effect_computing_decision[ccm_advisor_counselor],current_program,computing_program_discovery[hs_counselor],computing_program_discovery[hs_teacher],computing_program_discovery[ccm_it_website],computing_program_discovery[ccm_admissions],computing_program_discovery[ccm_advisor],computing_program_discovery[employer],computing_program_discovery[ccm_workforce_development],computing_program_discovery[nj_workforce_development],computing_program_discovery[other],interest_level_cmp_it_game_dev,interest_field[web_dev],interest_field[cyber_security],interest_field[app_dev],interest_field[data_analysis],interest_field[machine_learning_ai],interest_field[computer_programming],interest_field[game_design],interest_field[hardware],Gender,Race/ethnicity,Age
CMP 126 Computer Technology and Applications,No,Don't recall,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Don't recall,Don't recall,No,Don't recall,Yes,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Communication,Yes,Yes,Yes,No,Yes,No,No,No,No,2,No,Yes,No,No,No,No,Yes,No,Man,White/Caucasian,21-24
CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,Liberal Arts,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2,No,No,No,No,No,No,No,No,Man,Black/African American,18 and younger
CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No,Yes,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,Not Sure,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,,,Liberal Arts,Don't recall,Don't recall,No,Yes,Yes,No,No,No,Don't recall,3,Yes,No,No,No,No,No,No,Yes,Man,Choose not to reply,19-20
CMP 126 Computer Technology and Applications,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No,Don't recall,No,No,Yes,Yes,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Not Sure,Yes,Yes,Yes,No,Not Sure,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Communication,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,No,Don't recall,Don't recall,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,Journalism,No,No,Yes,Yes,Yes,No,No,No,No,3,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Man,White/Caucasian,18 and younger
CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Communication,No,No,No,Yes,No,No,No,No,No,2,No,Yes,Yes,No,No,No,No,No,Woman,White/Caucasian,18 and younger
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Nursing,No,No,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,High Impact,High Impact,High Impact,High Impact,Some Impact,,,High Impact,,,High Impact,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,Nursing,No,No,No,No,No,No,No,No,No,2,No,Yes,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,business,No,No,No,No,Don't recall,No,No,No,Don't recall,3,No,No,No,No,No,No,No,No,Man,Black/African American,19-20
CMP 101 Computer Information Literacy,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Liberal Arts,No,No,No,No,No,No,No,No,No,3,No,Yes,No,No,No,Yes,No,No,Woman,Hispanic or Latino,25-34
CMP 126 Computer Technology and Applications,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Not Sure,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Liberal Arts,No,No,No,No,Yes,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Communication,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Criminal Justice,Don't recall,Don't recall,Yes,Yes,Yes,No,No,No,No,4,No,Yes,No,No,No,Yes,Yes,No,Man,Asian,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,Yes,Yes,No,No,No,No,4,No,Yes,No,Yes,No,Yes,No,Yes,Man,White/Caucasian,21-24
CMP 101 Computer Information Literacy,Don't recall,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,Yes,Yes,No,No,No,No,4,Yes,Yes,Yes,No,Yes,Yes,No,No,Woman,Black/African American,21-24
CMP 126 Computer Technology and Applications,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,radiography,No,No,No,No,No,No,No,No,No,2,No,No,No,Yes,No,No,Yes,No,Man,Black/African American,19-20
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,radiography,No,No,Yes,Yes,Yes,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,High Impact,High Impact,,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,,High Impact,High Impact,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,,,,,High Impact,,,,,,radiography,No,No,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,25-34
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,biology,No,No,Yes,Yes,Yes,No,No,No,No,3,Yes,No,No,No,Yes,Yes,Yes,Yes,Man,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,,Some Impact,No Impact,,,,,Some Impact,,No Impact,,,Some Impact,business,No,No,No,No,Yes,No,No,No,No,5,No,Yes,No,No,Yes,No,No,Yes,Man,White/Caucasian,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,,,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Some Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Music Technology,No,No,No,No,Yes,No,No,No,No,3,Yes,No,Yes,No,No,Yes,Yes,No,Man,Hispanic or Latino,18 and younger
CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Liberal Arts,No,No,No,No,Yes,No,No,No,No,3,Yes,No,No,No,Yes,No,No,No,Woman,mixed,19-20
CMP 135 Computer Concepts with Applications,No,Yes,No,Don't recall,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,Some Impact,Some Impact,Some Impact,Some Impact,,,,Some Impact,Some Impact,Some Impact,,,,,,Some Impact,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,,,,,,,,,,,,,Liberal Arts,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2,No,No,No,No,No,No,No,No,Woman,mixed,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,radiography,No,No,No,Yes,Yes,No,No,No,No,4,No,Yes,Yes,Yes,No,Yes,Yes,No,Woman,Hispanic or Latino,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,education,No,No,No,No,Yes,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,19-20
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Not Sure,No,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Criminal Justice,Don't recall,Yes,No,No,Yes,No,No,No,No,3,No,Yes,No,No,Yes,No,Yes,No,Man,Hispanic or Latino,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,radiography,No,No,No,Yes,No,No,No,No,No,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Man,Black/African American,35-64
CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,4,No,No,Yes,No,No,No,Yes,No,Man,White/Caucasian,21-24
CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,biology,No,No,No,Yes,No,No,No,No,No,3,No,No,Yes,No,No,No,No,No,Woman,mixed,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,No,No,No,Yes,Yes,No,Yes,Yes,No,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,White/Caucasian,19-20
CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,,,,,,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Liberal Arts,Yes,No,No,Yes,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Man,Black/African American,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,radiography,No,No,No,No,Yes,No,No,No,No,3,Yes,No,Yes,No,Yes,No,Yes,No,Man,Hispanic or Latino,21-24
CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,radiography,No,No,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Man,mixed,25-34
CMP 135 Computer Concepts with Applications,Don't recall,Yes,No,Yes,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,,,,,,,,Some Impact,Some Impact,,,,,education,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,3,Yes,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,3,Yes,Yes,Yes,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,education,No,No,No,No,Yes,No,No,No,No,2,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,education,No,Yes,No,No,No,No,No,No,No,2,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
CMP 135 Computer Concepts with Applications,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Nursing,Yes,No,No,No,No,No,No,No,No,3,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
